date,year,12monthAverageTemperature,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1825-01-01,1825,9.3225,1.751,3.126,Berlin,Germany,52.24N,13.14E
1826-01-01,1826,9.345666667,-6.451,1.225,Berlin,Germany,52.24N,13.14E
1827-01-01,1827,8.991416667,-2.142,3.339,Berlin,Germany,52.24N,13.14E
1828-01-01,1828,8.94425,-2.116,2.675,Berlin,Germany,52.24N,13.14E
1829-01-01,1829,6.517166667,-5.634,1.812,Berlin,Germany,52.24N,13.14E
1830-01-01,1830,8.079333333,-7.604,3.115,Berlin,Germany,52.24N,13.14E
1831-01-01,1831,8.933666667,-4.235,2.93,Berlin,Germany,52.24N,13.14E
1832-01-01,1832,8.338166667,-1.671,2.292,Berlin,Germany,52.24N,13.14E
1833-01-01,1833,8.885083333,-3.579,3.521,Berlin,Germany,52.24N,13.14E
1834-01-01,1834,10.3985,3.659,2.28,Berlin,Germany,52.24N,13.14E
1835-01-01,1835,8.809416667,1.063,2.6,Berlin,Germany,52.24N,13.14E
1836-01-01,1836,8.884083333,-0.706,0.953,Berlin,Germany,52.24N,13.14E
1837-01-01,1837,8.12275,0.075,2.645,Berlin,Germany,52.24N,13.14E
1838-01-01,1838,6.977583333,-9.813,3.067,Berlin,Germany,52.24N,13.14E
1839-01-01,1839,8.62975,-0.784,1.514,Berlin,Germany,52.24N,13.14E
1840-01-01,1840,7.744416667,-1.193,2.129,Berlin,Germany,52.24N,13.14E
1841-01-01,1841,9.064166667,-1.851,2.235,Berlin,Germany,52.24N,13.14E
1842-01-01,1842,8.50925,-4.033,1.595,Berlin,Germany,52.24N,13.14E
1843-01-01,1843,9.176083333,0.775,1.53,Berlin,Germany,52.24N,13.14E
1844-01-01,1844,7.84625,-1.107,0.896,Berlin,Germany,52.24N,13.14E
1845-01-01,1845,7.921833333,0.28,1.968,Berlin,Germany,52.24N,13.14E
1846-01-01,1846,9.8445,0.51,1.78,Berlin,Germany,52.24N,13.14E
1847-01-01,1847,8.235833333,-3.496,6.125,Berlin,Germany,52.24N,13.14E
1848-01-01,1848,8.7455,-9.276,1.796,Berlin,Germany,52.24N,13.14E
1849-01-01,1849,8.030583333,-2.208,1.306,Berlin,Germany,52.24N,13.14E
1850-01-01,1850,8.202916667,-6.997,1.548,Berlin,Germany,52.24N,13.14E
1851-01-01,1851,8.497666667,0.58,0.503,Berlin,Germany,52.24N,13.14E
1852-01-01,1852,9.54225,2.795,2.673,Berlin,Germany,52.24N,13.14E
1853-01-01,1853,7.554083333,2.2,0.884,Berlin,Germany,52.24N,13.14E
1854-01-01,1854,8.692583333,-0.996,2.004,Berlin,Germany,52.24N,13.14E
1855-01-01,1855,7.068416667,-2.7,2.084,Berlin,Germany,52.24N,13.14E
1856-01-01,1856,8.503333333,-0.045,0.882,Berlin,Germany,52.24N,13.14E
1857-01-01,1857,9.387333333,-2.112,1.203,Berlin,Germany,52.24N,13.14E
